date,moisture
2017-03-17 18:19:03,68.0
2017-03-17 18:21:14,68.0
2017-03-17 18:22:15,68.0
2017-03-17 18:22:18,68.0
2017-03-17 18:24:19,68.0
2017-03-17 18:25:16,68.0
2017-03-17 18:25:55,68.0
2017-03-17 18:26:03,68.0
2017-03-17 18:27:03,68.0
2017-03-17 18:28:02,68.0
2017-03-17 18:29:08,68.0
2017-03-17 18:30:31,68.0
2017-03-17 18:32:04,68.0
2017-03-17 18:32:16,68.0
2017-03-17 18:33:23,68.0
2017-03-17 18:34:46,68.0
2017-03-17 18:35:59,68.0
2017-03-17 18:37:04,68.0
2017-03-17 18:37:51,68.0
2017-03-17 18:38:06,68.0
2017-03-17 18:39:30,68.0
2017-03-17 18:40:15,68.0
2017-03-17 18:41:03,68.0
2017-03-17 18:42:03,68.0
2017-03-17 18:43:02,68.0
2017-03-17 18:44:03,68.0
2017-03-17 18:45:03,68.0
2017-03-17 18:46:03,68.0
2017-03-17 18:47:06,68.0
2017-03-17 18:48:03,68.0
2017-03-17 18:49:03,68.0
2017-03-17 18:50:03,68.0
2017-03-17 18:51:03,68.0
2017-03-17 18:52:02,68.0
2017-03-17 18:53:03,68.0
2017-03-17 18:54:03,68.0
2017-03-17 18:55:03,68.0
2017-03-17 18:56:03,68.0
2017-03-17 18:57:03,68.0
2017-03-17 18:58:03,68.0
2017-03-17 18:59:02,68.0
2017-03-17 19:00:03,68.0
2017-03-17 19:01:03,68.0
2017-03-17 19:02:03,68.0
2017-03-17 19:03:06,68.0
2017-03-17 19:04:03,68.0
2017-03-17 19:05:02,68.0
2017-03-17 19:06:03,68.0
2017-03-17 19:07:02,68.0
2017-03-17 19:08:03,68.0
2017-03-17 19:09:03,68.0
2017-03-17 19:10:03,68.0
2017-03-17 19:11:03,68.0
2017-03-17 19:12:02,68.0
2017-03-17 19:13:03,68.0
2017-03-17 19:14:02,68.0
2017-03-17 19:15:03,68.0
2017-03-17 19:16:03,68.0
2017-03-17 19:17:03,68.0
2017-03-17 19:18:03,68.0
2017-03-17 19:19:02,68.0
2017-03-17 19:20:03,68.0
2017-03-17 19:21:02,68.0
2017-03-17 19:22:03,68.0
2017-03-17 19:23:03,68.0
2017-03-17 19:24:03,68.0
2017-03-17 19:25:06,68.0
2017-03-17 19:26:03,68.0
2017-03-17 19:27:05,68.0
2017-03-17 19:28:02,68.0
2017-03-17 19:29:03,68.0
2017-03-17 19:30:02,68.0
2017-03-17 19:31:03,68.0
2017-03-17 19:32:03,68.0
2017-03-17 19:33:03,68.0
2017-03-17 19:34:03,68.0
2017-03-17 19:35:02,68.0
2017-03-17 19:36:03,68.0
2017-03-17 19:37:02,68.0
2017-03-17 19:38:03,68.0
2017-03-17 19:39:03,68.0
2017-03-17 19:40:03,68.0
2017-03-17 19:41:03,68.0
2017-03-17 19:42:03,68.0
2017-03-17 19:43:03,68.0
2017-03-17 19:44:02,68.0
2017-03-17 19:45:03,68.0
2017-03-17 19:46:03,68.0
2017-03-17 19:47:03,68.0
2017-03-17 19:48:03,68.0
2017-03-17 19:49:03,68.0
2017-03-17 19:50:03,68.0
2017-03-17 19:51:03,68.0
2017-03-17 19:52:02,68.0
2017-03-17 19:53:03,68.0
2017-03-17 19:54:03,68.0
2017-03-17 19:55:03,68.0
2017-03-17 19:56:03,68.0
2017-03-17 19:57:03,68.0
2017-03-17 19:58:03,68.0
2017-03-17 19:59:03,68.0
2017-03-17 20:00:02,68.0
2017-03-17 20:01:03,68.0
2017-03-17 20:02:03,68.0
2017-03-17 20:03:03,68.0
2017-03-17 20:04:03,68.0
2017-03-17 20:05:03,68.0
2017-03-17 20:06:03,68.0
2017-03-17 20:07:02,68.0
2017-03-17 20:08:03,68.0
2017-03-17 20:09:03,68.0
2017-03-17 20:10:03,68.0
2017-03-17 20:11:03,68.0
2017-03-17 20:12:03,68.0
2017-03-17 20:13:03,68.0
2017-03-17 20:14:02,68.0
2017-03-17 20:15:05,68.0
2017-03-17 20:16:03,68.0
2017-03-17 20:17:03,68.0
2017-03-17 20:18:03,68.0
2017-03-17 20:19:06,68.0
2017-03-17 20:20:03,68.0
2017-03-17 20:21:03,68.0
2017-03-17 20:22:03,68.0
2017-03-17 20:23:02,68.0
2017-03-17 20:24:03,68.0
2017-03-17 20:25:03,68.0
2017-03-17 20:26:03,68.0
2017-03-17 20:27:03,68.0
2017-03-17 20:28:03,68.0
2017-03-17 20:29:02,68.0
2017-03-17 20:30:03,68.0
2017-03-17 20:31:03,68.0
2017-03-17 20:32:03,68.0
2017-03-17 20:33:03,68.0
2017-03-17 20:34:03,68.0
2017-03-17 20:35:03,68.0
2017-03-17 20:36:02,68.0
